TRANSACTION_NUMBER,INSTANCE_DATE,GROUP_EN,PROCEDURE_EN,IS_OFFPLAN_EN,IS_FREE_HOLD_EN,USAGE_EN,AREA_EN,PROP_TYPE_EN,PROP_SB_TYPE_EN,TRANS_VALUE,PROCEDURE_AREA,ACTUAL_AREA,ROOMS_EN,PARKING,NEAREST_METRO_EN,NEAREST_MALL_EN,NEAREST_LANDMARK_EN,TOTAL_BUYER,TOTAL_SELLER,MASTER_PROJECT_EN,PROJECT_EN
"11-19200-2026","2026-06-20 09:03:28","Sales","Sale","Ready","Free Hold","Residential","MOTOR CITY","Unit","Flat","1200000","152.92","152.92","1 B/R","310","Sharaf Dg Metro Station","Mall of the Emirates","Motor City","0","0","",""
"11-19201-2026","2026-06-20 10:33:40","Sales","Sale","Ready","Free Hold","Residential","JUMEIRAH LAKES TOWERS","Unit","Flat","1670000","122.13","122.13","2 B/R","2","Marina Mall Metro Station","Marina Mall","Burj Al Arab","0","0","","ARMADA TOWERS"
"11-19202-2026","2026-06-20 10:32:52","Sales","Sale","Ready","Free Hold","Residential","DUBAI MARINA","Unit","Flat","1420075","81.75","81.75","1 B/R","102(B03)","Dubai Marina","Marina Mall","Burj Al Arab","0","0","",""
"11-19203-2026","2026-06-20 10:34:23","Sales","Sale","Ready","Free Hold","Residential","ARJAN","Unit","Flat","1350000","131.73","131.73","2 B/R","G-66","Sharaf Dg Metro Station","Mall of the Emirates","Motor City","0","0","","Divine Living"
"11-19204-2026","2026-06-20 11:07:12","Sales","Sale","Ready","Free Hold","Residential","INTERNATIONAL CITY PH 1","Unit","Flat","275000","44","44","Studio","","Rashidiya Metro Station","City Centre Mirdif","","0","0","",""
"11-19205-2026","2026-06-20 13:13:17","Sales","Sale","Ready","Non Free Hold","Commercial","Al Karama","Land","Commercial","9000000","211.35","211.35","","","ADCB Metro Station","Dubai Mall","Burj Khalifa","0","0","",""
"11-19206-2026","2026-06-20 11:34:09","Sales","Sale","Ready","Free Hold","Residential","DAMAC HILLS","Unit","Flat","1000000","71.23","71.23","1 B/R","L2-B029","","","Motor City","0","0","","DAMAC HILLS - CARSON "
"11-19207-2026","2026-06-20 12:01:09","Sales","Sale","Ready","Free Hold","Residential","DUBAI MARINA","Unit","Flat","1880000","84.45","84.45","1 B/R","P2-2153","Jumeirah Beach Resdency","Marina Mall","Burj Al Arab","0","0","","PARK ISLANDS"
"11-19208-2026","2026-06-20 11:30:14","Sales","Sale","Ready","Free Hold","Residential","BURJ KHALIFA","Unit","Flat","900000","41.99","83.98","1 B/R","B-3219","Buj Khalifa Dubai Mall Metro Station","Dubai Mall","Downtown Dubai","0","0","",""
"11-19209-2026","2026-06-20 11:51:15","Sales","Sale","Ready","Free Hold","Residential","INTERNATIONAL CITY PH 1","Unit","Flat","425000","69","69","1 B/R","","Rashidiya Metro Station","City Centre Mirdif","","0","0","",""
"11-19210-2026","2026-06-20 12:34:52","Sales","Sale","Ready","Non Free Hold","Residential","Al Rashidiya","Land","Residential","2650000","594.59","594.59","","","Rashidiya Metro Station","City Centre Mirdif","Dubai International Airport","0","0","",""
"11-19211-2026","2026-06-20 12:53:59","Sales","Sale","Ready","Free Hold","Residential","ARJAN","Unit","Flat","485000","44.81","44.81","Studio","BG-3","Sharaf Dg Metro Station","Mall of the Emirates","Motor City","0","0","","LINCOLN PARK"
"11-19212-2026","2026-06-20 13:24:30","Sales","Sale","Ready","Free Hold","Residential","MOTOR CITY","Unit","Flat","700000","67.63","67.63","Studio","2","Sharaf Dg Metro Station","Mall of the Emirates","Motor City","0","0","",""
"11-19213-2026","2026-06-20 13:45:01","Sales","Sale","Ready","Free Hold","Residential","DUBAI SPORTS CITY","Unit","Flat","495000","39.36","39.36","Studio","B2-24","Nakheel Metro Station","Marina Mall","Sports City Swimming Academy","0","0","","EAGLE HEIGHTS"
"11-19214-2026","2026-06-20 14:15:23","Sales","Sale","Ready","Free Hold","Residential","DISCOVERY GARDENS","Unit","Flat","750000","92","92","1 B/R","","Harbour Tower","Ibn-e-Battuta Mall","Sports City Swimming Academy","0","0","",""
"11-19215-2026","2026-06-20 14:47:27","Sales","Sale","Ready","Free Hold","Residential","ARJAN","Unit","Flat","510000","33.44","33.44","Studio","P3-48","Sharaf Dg Metro Station","Mall of the Emirates","Motor City","0","0","","SKYZ By Danube"
"11-19216-2026","2026-06-20 15:00:42","Sales","Sale","Ready","Free Hold","Residential","Madinat Hind 4","Unit","Hotel Apartment","410000","37.84","37.84","Studio","P1-407","","","","0","0","","DAMAC HILLS (2) - VIRIDIS "
"11-19217-2026","2026-06-21 09:57:50","Sales","Sale","Ready","Free Hold","Residential","DAMAC HILLS","Unit","Flat","1185000","86.21","86.21","1 B/R","UP-22","","","Motor City","0","0","","DAMAC HILLS - ORCHID"
"11-19218-2026","2026-06-21 10:33:53","Sales","Sale","Ready","Free Hold","Residential","DUBAI SPORTS CITY","Unit","Flat","920000","95.1","95.1","1 B/R","G-112","Nakheel Metro Station","Marina Mall","Sports City Swimming Academy","0","0","","ARENA APARTMENTS"
"11-19219-2026","2026-06-21 10:36:44","Sales","Sale","Ready","Free Hold","Residential","MEYDAN ONE","Unit","Shop","500000","13.93","27.86","NA","","Buj Khalifa Dubai Mall Metro Station","Dubai Mall","Downtown Dubai","0","0","","Azizi Riviera 32"
"11-19220-2026","2026-06-24 09:00:42","Sales","Sale","Ready","Free Hold","Residential","BUSINESS BAY","Unit","Flat","910000","37.95","37.95","Studio","P3-130","Business Bay Metro Station","Dubai Mall","Downtown Dubai","0","0","","PRIVE BY DAMAC"
"11-19223-2026","2026-06-22 08:50:09","Sales","Sale","Ready","Free Hold","Residential","DISCOVERY GARDENS","Unit","Flat","780000","82","82","1 B/R","","Harbour Tower","Ibn-e-Battuta Mall","Sports City Swimming Academy","0","0","",""
"11-19224-2026","2026-06-22 10:02:00","Sales","Sale","Ready","Free Hold","Residential","INTERNATIONAL CITY PH 1","Unit","Flat","425000","69.22","69.22","1 B/R","","Rashidiya Metro Station","City Centre Mirdif","","0","0","","INTERNATIONAL CITY EMARATI"
"11-19225-2026","2026-06-22 08:43:45","Sales","Sale","Ready","Free Hold","Residential","DAMAC HILLS","Land","Residential","3075000","180","180","","","","","Motor City","0","0","","DAMAC HILLS-PARK RESIDENCES 4"
"11-19226-2026","2026-06-22 10:37:39","Sales","Sale","Ready","Free Hold","Residential","DUBAI SCIENCE PARK","Unit","Flat","1361560","105.06","105.06","2 B/R","B2-52","First Abu Dhabi Bank Metro Station","Mall of the Emirates","Motor City","0","0","","MONTROSE"
"11-19227-2026","2026-06-22 10:46:33","Sales","Sale","Ready","Free Hold","Residential","DOWN TOWN JABAL ALI","Unit","Flat","485660","36.24","36.24","Studio","P1-33","UAE Exchange Metro Station","Ibn-e-Battuta Mall","Expo 2020 Site","0","0","","Azizi Aura Residences"
"11-19228-2026","2026-06-22 10:23:22","Sales","Sale","Ready","Free Hold","Residential","BUSINESS BAY","Unit","Flat","2000000","64.86","64.86","1 B/R","B-486","Business Bay Metro Station","Dubai Mall","Downtown Dubai","0","0","","Peninsula Three"
"11-19229-2026","2026-06-22 09:10:15","Sales","Sale","Ready","Free Hold","Residential","DUBAI MARINA","Unit","Flat","2875000","130.99","130.99","2 B/R","P2 - 2016","Jumeirah Beach Residency","Marina Mall","Burj Al Arab","0","0","",""
"11-19230-2026","2026-06-22 09:26:06","Sales","Sale","Ready","Free Hold","Residential","Al Yufrah 1","Building","Villa","3350000","231.09","231.09","4 B/R","","","","","0","0","","The Valley - Elora"
"11-19231-2026","2026-06-22 09:03:37","Sales","Sale","Ready","Free Hold","Residential","EMAAR SOUTH","Unit","Flat","663444","56.55","113.1","2 B/R","104-1, 104-2","","","Al Makhtoum International Airport","0","0","","URBANA III"
"11-19232-2026","2026-06-22 10:09:37","Sales","Sale","Ready","Non Free Hold","Residential","Abu Hail","Land","Residential","1500000","234","233.93","","","Abu Baker Al Siddique Metro Station","","Dubai International Airport","0","0","",""
"11-19233-2026","2026-06-22 13:30:48","Sales","Sale","Ready","Free Hold","Residential","THE GREENS","Unit","Flat","400000","17.34","115.57","2 B/R","57","Dubai Internet City","Marina Mall","Burj Al Arab","0","0","",""
"11-19234-2026","2026-06-22 10:08:37","Sales","Sale","Ready","Free Hold","Residential","Madinat Hind 4","Land","Residential","1850000","112.24","112.24","","","","","","0","0","","DAMAC HILLS (2) - CAMELIA"
"11-19235-2026","2026-06-22 09:57:37","Sales","Sale","Ready","Free Hold","Residential","BURJ KHALIFA","Unit","Flat","9600000","247.4","247.4","3 B/R","B2-7304,B2-7305","Buj Khalifa Dubai Mall Metro Station","Dubai Mall","Burj Khalifa","0","0","","BURJ KHALIFA TOWERS"
"11-19237-2026","2026-06-22 09:52:20","Sales","Sale","Ready","Non Free Hold","Residential","Nad Al Shiba Third","Land","","5141000","468.7","468.7","","","Creek Metro Station","City Centre Mirdif","","0","0","",""
"11-19238-2026","2026-06-22 09:44:32","Sales","Sale","Ready","Free Hold","Residential","DUBAI SOUTH","Unit","Flat","1050000","89.7","89.7","2 B/R","G-57","","","Expo 2020 Site","0","0","","MAG 5 BOULEVARD"
"11-19239-2026","2026-06-22 10:07:18","Sales","Sale","Ready","Non Free Hold","Residential","Mirdif","Land","Residential","1000000","232.34","697","","","Rashidiya Metro Station","City Centre Mirdif","Dubai International Airport","0","0","",""
"11-19240-2026","2026-06-22 09:53:17","Sales","Sale","Ready","Free Hold","Commercial","JUMEIRAH PARK","Land","Commercial","11750000","590.28","590.28","","","Harbour Tower","Ibn-e-Battuta Mall","Sports City Swimming Academy","0","0","",""
"11-19241-2026","2026-06-23 10:23:14","Sales","Sale","Ready","Free Hold","Residential","BUSINESS BAY","Unit","Hotel Rooms","1208027","37.91","37.91","Studio","EU","Buj Khalifa Dubai Mall Metro Station","Dubai Mall","Downtown Dubai","0","0","","Dolphin Tower"
"11-19242-2026","2026-06-22 09:52:49","Sales","Sale","Ready","Free Hold","Residential","Wadi Al Safa 5","Building","Villa","3110000","144.84","144.84","3 B/R","","","","","0","0","","Arabian Ranches lll - Raya"
"11-19243-2026","2026-06-23 10:28:47","Sales","Sale","Ready","Free Hold","Residential","BARSHA HEIGHTS","Unit","Hotel Apartment","1171669","62.02","62.02","1 B/R","(1)","Dubai Internet City","Mall of the Emirates","Burj Al Arab","0","0","","METRO CENTRAL"
"11-19244-2026","2026-06-22 10:04:44","Sales","Sale","Ready","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Unit","Flat","940000","69.63","69.63","1 B/R","G22","Dubai Internet City","Marina Mall","Sports City Swimming Academy","0","0","","Chaimaa Avenue"
"11-19245-2026","2026-06-22 09:49:36","Sales","Sale","Ready","Free Hold","Residential","Jabal Ali First","Unit","Flat","685000","39.86","39.86","Studio","T1-P2-26","ENERGY Metro Station","Ibn-e-Battuta Mall","Expo 2020 Site","0","0","","The Nook"
"11-19246-2026","2026-06-22 12:04:46","Sales","Sale","Ready","Free Hold","Residential","DUBAI HEALTHCARE CITY - PHASE 1","Unit","Flat","1850000","103.42","103.42","1 B/R","B4-A105","Healthcare City Metro Station","Dubai Mall","Dubai International Airport","0","0","",""
"11-19247-2026","2026-06-22 10:36:39","Sales","Sale","Ready","Free Hold","Residential","BUSINESS BAY","Unit","Flat","499999","42.97","85.94","1 B/R","UG-019","Buj Khalifa Dubai Mall Metro Station","Dubai Mall","Downtown Dubai","0","0","","THE RESIDENCE AT BUSINESS CENTRAL"
"11-19248-2026","2026-06-22 10:16:29","Sales","Sale","Ready","Free Hold","Residential","ARJAN","Unit","Flat","620000","43.14","43.14","Studio","G-74","First Abu Dhabi Bank Metro Station","Mall of the Emirates","Motor City","0","0","",""
"11-19249-2026","2026-06-22 10:27:39","Sales","Sale","Ready","Free Hold","Residential","BURJ KHALIFA","Unit","Flat","7000000","189.15","189.15","2 B/R","B2-7338,B2-7339","Buj Khalifa Dubai Mall Metro Station","Dubai Mall","Burj Khalifa","0","0","","BURJ KHALIFA TOWERS"
"11-19250-2026","2026-06-22 12:59:32","Sales","Sale","Ready","Free Hold","Residential","INTERNATIONAL CITY PH 1","Unit","Flat","387000","68","68","1 B/R","","Rashidiya Metro Station","City Centre Mirdif","","0","0","",""
"11-19251-2026","2026-06-22 10:58:05","Sales","Sale","Ready","Free Hold","Residential","PALM JUMEIRAH","Unit","Flat","4200000","161.18","161.18","2 B/R","1-B130","Palm Jumeirah","Marina Mall","Burj Al Arab","0","0","","MARINA RESIDENCE"
"11-19252-2026","2026-06-22 10:24:05","Sales","Sale","Ready","Free Hold","Commercial","JUMEIRAH PARK","Land","Commercial","7400000","680","680","","","Harbour Tower","Ibn-e-Battuta Mall","Sports City Swimming Academy","0","0","",""
"11-19253-2026","2026-06-22 11:58:08","Sales","Sale","Ready","Free Hold","Residential","MOTOR CITY","Unit","Flat","1555000","139","139","2 B/R","G-30","Dubai Internet City","Mall of the Emirates","Motor City","0","0","","CASA FLORES AND EDEN APARTMENTS"
"11-19254-2026","2026-06-22 10:23:10","Sales","Sale","Ready","Free Hold","Residential","THE VALLEY","Building","Villa","3300000","255.52","255.52","4 B/R","","","","","0","0","","The Valley-Nara"
"11-19255-2026","2026-06-22 10:26:25","Sales","Sale","Ready","Free Hold","Residential","Al Hebiah Sixth","Building","Villa","4200000","263.96","263.96","4 B/R","","","","","0","0","","Mudon Al Ranim 4"
"11-19256-2026","2026-06-22 10:48:04","Sales","Sale","Ready","Free Hold","Residential","DOWN TOWN JABAL ALI","Unit","Flat","675000","48.72","48.72","Studio","B-01","UAE Exchange Metro Station","Ibn-e-Battuta Mall","Expo 2020 Site","0","0","","Azizi Aura Residences"
"11-19257-2026","2026-06-22 10:29:54","Sales","Sale","Ready","Free Hold","Residential","MEYDAN ONE","Unit","Flat","980000","56.82","56.82","1 B/R","B1-02","Buj Khalifa Dubai Mall Metro Station","Dubai Mall","Downtown Dubai","0","0","","Azizi Riviera 45"
"11-19258-2026","2026-07-01 12:02:31","Sales","Sale","Ready","Free Hold","Residential","INTERNATIONAL CITY PH 1","Unit","Flat","440000","63.12","63.12","1 B/R","B1-21","Rashidiya Metro Station","City Centre Mirdif","","0","0","","RUFI GARDENS"
"11-19259-2026","2026-06-22 10:38:52","Sales","Sale","Ready","Free Hold","Residential","JUMEIRAH VILLAGE TRIANGLE","Unit","Flat","1185000","103.07","103.07","2 B/R","P1-10","Nakheel Metro Station","Marina Mall","Sports City Swimming Academy","0","0","","IMPERIAL RESIDENCE"
"11-19260-2026","2026-06-22 11:00:29","Sales","Sale","Ready","Free Hold","Residential","DUBAI HILLS","Unit","Flat","2550000","92.08","92.08","2 B/R","G-116","First Abu Dhabi Bank Metro Station","Mall of the Emirates","Motor City","0","0","","Park Field"
"11-19261-2026","2026-06-23 10:21:22","Sales","Sale","Ready","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Unit","Shop","1500000","47.79","47.79","NA","G-02,G-17","Nakheel Metro Station","Marina Mall","Sports City Swimming Academy","0","0","",""
"11-19262-2026","2026-06-22 11:10:51","Sales","Sale","Ready","Free Hold","Residential","ARABIAN RANCHES III","Building","Villa","2850000","128.11","128.11","3 B/R","","","","Hamdan Sports Complex","0","0","","Arabian Ranches III - JOY"
"11-19263-2026","2026-06-22 10:55:43","Sales","Sale","Ready","Free Hold","Residential","EMIRATE LIVING","Building","Villa","5610000","485.41","485.41","3 B/R","","Nakheel Metro Station","Marina Mall","Sports City Swimming Academy","0","0","","Emirates Living - Springs 9"
"11-19264-2026","2026-06-22 11:00:56","Sales","Sale","Ready","Free Hold","Residential","Madinat Hind 4","Land","Residential","2000000","174.8","174.8","","","","","","0","0",""," DAMAC HILLS (2)  - SANCTNARY"
"11-19265-2026","2026-06-22 11:22:07","Sales","Sale","Ready","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Unit","Flat","550000","39.69","39.69","Studio","P-70","Nakheel Metro Station","Marina Mall","Sports City Swimming Academy","0","0","",""
"11-19266-2026","2026-06-22 11:04:45","Sales","Sale","Ready","Free Hold","Residential","BURJ KHALIFA","Unit","Flat","2000000","60.56","60.56","1 B/R","B4-4549","Buj Khalifa Dubai Mall Metro Station","Dubai Mall","Burj Khalifa","0","0","","ACT ONE | ACT TWO"
"11-19267-2026","2026-06-22 10:51:08","Sales","Sale","Ready","Free Hold","Residential","DUBAI SPORTS CITY","Unit","Flat","760000","70.58","70.58","1 B/R","P1-039","Dubai Internet City","Marina Mall","Sports City Swimming Academy","0","0","","Hera Tower"
"11-19268-2026","2026-06-22 11:09:30","Sales","Sale","Ready","Free Hold","Residential","JUMEIRAH LAKES TOWERS","Unit","Flat","1250000","133.08","133.08","1 B/R","DMCC-1262","Jumeirah Lakes Towers","Marina Mall","Sports City Swimming Academy","0","0","","CONCORDE TOWER"
"11-19269-2026","2026-06-22 12:17:20","Sales","Sale","Ready","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Unit","Flat","930000","89.55","89.55","1 B/R","P41","Dubai Internet City","Marina Mall","Sports City Swimming Academy","0","0","","Rigel"
"11-19270-2026","2026-06-22 11:33:29","Sales","Sale","Ready","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Unit","Office","1900000","167.69","167.69","Office","P1-42,P1-92,P1-93,B1-97,B1-98","Dubai Internet City","Marina Mall","Sports City Swimming Academy","0","0","","PRIME BUSINESS CENTER"
"11-19271-2026","2026-06-22 11:14:40","Sales","Sale","Ready","Free Hold","Residential","BUSINESS BAY","Unit","Flat","1700000","96","96","1 B/R","L3-317","Business Bay Metro Station","Dubai Mall","Downtown Dubai","0","0","","AL HABTOOR CITY"
"11-19272-2026","2026-06-22 15:14:00","Sales","Sale","Ready","Free Hold","Residential","DUBAI MARINA","Unit","Flat","900000","65.39","65.39","1 B/R","B2-67","Jumeirah Beach Residency","Marina Mall","Sports City Swimming Academy","0","0","","ESCAN MARINA TOWER"
"11-19273-2026","2026-06-22 12:39:27","Sales","Sale","Ready","Free Hold","Residential","DUBAI CREEK HARBOUR","Unit","Hotel Apartment","3875000","102.4","102.4","2 B/R","L2-T2-852","Creek Metro Station","City Centre Mirdif","Dubai International Airport","0","0","","ADDRESS HARBOUR POINT"
"11-19274-2026","2026-06-22 12:12:41","Sales","Sale","Ready","Non Free Hold","Commercial","Naif","Land","Commercial","18000000","417.78","417.78","","","Baniyas Square Metro Station","Dubai Mall","Dubai International Airport","0","0","",""
"11-19275-2026","2026-06-22 11:57:38","Sales","Sale","Ready","Free Hold","Residential","DUBAI PRODUCTION CITY","Unit","Flat","1050000","91.54","91.54","2 B/R","B1-28","Harbour Tower","Ibn-e-Battuta Mall","Sports City Swimming Academy","0","0","",""
"11-19276-2026","2026-06-22 12:22:02","Sales","Sale","Ready","Free Hold","Residential","FALCON CITY OF WONDERS","Land","Residential","5250000","540.14","540.14","","","","","IMG World Adventures","0","0","","WESTERN RESIDENCE - SOUTH"
"11-19277-2026","2026-06-22 11:24:51","Sales","Sale","Ready","Free Hold","Residential","INTERNATIONAL CITY PH 1","Unit","Shop","700000","67","67","NA","","Rashidiya Metro Station","City Centre Mirdif","","0","0","",""
"11-19279-2026","2026-06-22 11:26:31","Sales","Sale","Ready","Free Hold","Residential","LIWAN","Unit","Flat","500000","53.77","53.77","1 B/R","G-36","","","IMG World Adventures","0","0","","QPOINT LIWAN-PLOT R099"
"11-19280-2026","2026-06-22 11:51:01","Sales","Sale","Ready","Free Hold","Residential","Zaabeel Second","Unit","Flat","1850000","66.81","66.81","1 B/R","P3-303","Financial Centre","Dubai Mall","Burj Khalifa","0","0","","Downtown Views II"
"11-19281-2026","2026-06-22 12:42:50","Sales","Sale","Ready","Free Hold","Residential","MOTOR CITY","Unit","Flat","1440000","152.55","152.55","2 B/R","A184-A185","Sharaf Dg Metro Station","Mall of the Emirates","Motor City","0","0","",""
"11-19282-2026","2026-06-22 12:14:20","Sales","Sale","Ready","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Unit","Flat","1400000","186.25","186.25","2 B/R","B-50","Dubai Internet City","Marina Mall","Sports City Swimming Academy","0","0","","CAPPADOCIA"
"11-19283-2026","2026-06-22 11:50:38","Sales","Sale","Ready","Free Hold","Residential","JUMEIRAH LAKES TOWERS","Unit","Flat","1160000","76.91","76.91","1 B/R","1","Marina Mall Metro Station","Marina Mall","Burj Al Arab","0","0","","ARMADA TOWERS"
"11-19284-2026","2026-06-22 12:24:49","Sales","Sale","Ready","Free Hold","Residential","DUBAI MARINA","Unit","Flat","3452382","168.46","168.46","3 B/R","B1-280 , B1-281","Marina Towers","Marina Mall","Burj Al Arab","0","0","","CAYAN TOWER"
"11-19285-2026","2026-06-22 12:21:15","Sales","Sale","Ready","Free Hold","Residential","ARJAN","Unit","Flat","1035000","53.57","53.57","1 B/R","G-252","Sharaf Dg Metro Station","Mall of the Emirates","Motor City","0","0","","Vincitore Benessere"
"11-19286-2026","2026-06-22 12:41:47","Sales","Sale","Ready","Free Hold","Residential","BURJ KHALIFA","Unit","Flat","6497890","191.01","191.01","2 B/R","B1-4136,B1-4137","Buj Khalifa Dubai Mall Metro Station","Dubai Mall","Burj Khalifa","0","0","","BURJ KHALIFA TOWERS"
"11-19287-2026","2026-06-22 11:55:49","Sales","Sale","Ready","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Unit","Flat","1178744","78.89","78.89","1 B/R","P1-135","Nakheel Metro Station","Marina Mall","Sports City Swimming Academy","0","0","","Luma Park Views"
"11-19288-2026","2026-06-22 12:52:22","Sales","Sale","Ready","Free Hold","Residential","INTERNATIONAL CITY PH 2 & 3","Land","","15000000","2455.97","2455.97","","","Rashidiya Metro Station","City Centre Mirdif","","0","0","",""
"11-19289-2026","2026-06-22 12:27:28","Sales","Sale","Ready","Free Hold","Residential","LIWAN","Unit","Flat","1626000","141.49","141.49","2 B/R","G-72","","","IMG World Adventures","0","0","",""
"11-19290-2026","2026-06-22 12:22:29","Sales","Sale","Ready","Free Hold","Residential","DUBAI CREEK HARBOUR","Unit","Flat","3350000","138.35","138.35","2 B/R","B2-171","Creek Metro Station","Dubai Mall","Dubai International Airport","0","0","","The Grand "
"11-19291-2026","2026-06-22 12:55:14","Sales","Sale","Ready","Free Hold","Residential","INTERNATIONAL CITY PH 2 & 3","Unit","Flat","492416.61","35.19","35.19","Studio","G-25","Rashidiya Metro Station","City Centre Mirdif","","0","0","",""
"11-19292-2026","2026-06-22 13:09:49","Sales","Sale","Ready","Free Hold","Residential","EMIRATE LIVING","Building","Villa","2950000","153.43","153.43","2 B/R","","Damac Properties","Marina Mall","Sports City Swimming Academy","0","0","","Emirates Living - Springs 15"
"11-19293-2026","2026-06-22 13:20:06","Sales","Sale","Ready","Non Free Hold","Commercial","Muhaisanah Second","Land","Industrial","2400000","464.52","464.52","","","Etisalat Metro Station","City Centre Mirdif","Dubai International Airport","0","0","",""
"11-19294-2026","2026-06-22 14:20:25","Sales","Sale","Ready","Non Free Hold","Residential","Jumeirah First","Land","Residential","10984230","731.56","731.56","","","","","","0","0","",""
"11-19295-2026","2026-06-22 12:51:51","Sales","Sale","Ready","Free Hold","Residential","Zaabeel Second","Unit","Flat","2925000","111.71","111.71","2 B/R","G-292","Financial Centre","Dubai Mall","Burj Khalifa","0","0","","Downtown Views II"
"11-19296-2026","2026-06-22 13:01:08","Sales","Sale","Ready","Free Hold","Residential","BURJ KHALIFA","Unit","Flat","1465000","72.74","72.74","1 B/R","B3-3113","Buj Khalifa Dubai Mall Metro Station","Dubai Mall","Downtown Dubai","0","0","","BURJ VIEWS"
"11-19297-2026","2026-06-23 09:54:24","Sales","Sale","Ready","Non Free Hold","Residential","Al Twar Fourth","Land","Residential","1851300","594.58","594.58","","","Etisalat Metro Station","City Centre Mirdif","Dubai International Airport","0","0","",""
"11-19298-2026","2026-06-22 14:53:14","Sales","Sale","Ready","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Unit","Flat","41389.45","41.96","41.96","Studio","P99","Nakheel Metro Station","Marina Mall","Sports City Swimming Academy","0","0","","Belgravia 2"
"11-19299-2026","2026-06-22 14:16:05","Sales","Sale","Ready","Free Hold","Residential","SERENA","Building","Villa","3050000","257.91","257.91","3 B/R","","","","Hamdan Sports Complex","0","0","","Serena - Casa Viva "
"11-19300-2026","2026-06-22 15:44:14","Sales","Sale","Ready","Non Free Hold","Residential","Nad Al Shiba Third","Land","","5700000","468.41","468.41","","","Rashidiya Metro Station","City Centre Mirdif","","0","0","",""
"11-19301-2026","2026-06-23 10:29:39","Sales","Sale","Ready","Free Hold","Residential","DUBAI CREEK HARBOUR","Unit","Flat","3350000","119.16","119.16","2 B/R","B2-67","Creek Metro Station","Dubai Mall","Dubai International Airport","0","0","","The Cove"
"11-19302-2026","2026-06-22 13:26:51","Sales","Sale","Ready","Free Hold","Residential","Nad Al Shiba First","Land","Residential / Villas","12000000","485.53","485.53","","","","","","0","0","","Nad Al Sheba Gardens Phase 2 "
"11-19303-2026","2026-06-22 13:21:19","Sales","Sale","Ready","Non Free Hold","Residential","Al Yelayiss 5","Land","","2450000","745.51","745.51","","","","","","0","0","",""
"11-19304-2026","2026-06-22 13:47:16","Sales","Sale","Ready","Free Hold","Residential","ARJAN","Unit","Flat","1250000","87.9","87.9","1 B/R","G-50","Sharaf Dg Metro Station","Mall of the Emirates","Motor City","0","0","","48 PARKSIDE "
"11-19305-2026","2026-06-22 13:20:24","Sales","Sale","Ready","Free Hold","Residential","INTERNATIONAL CITY PH 2 & 3","Unit","Flat","492000","35.96","35.96","Studio","P-12","Rashidiya Metro Station","City Centre Mirdif","","0","0","",""
"11-19306-2026","2026-06-23 13:56:08","Sales","Sale","Ready","Free Hold","Residential","JUMEIRAH LAKES TOWERS","Unit","Flat","1280000","109.9","109.9","1 B/R","B2-86","Jumeirah Lakes Towers","Marina Mall","Sports City Swimming Academy","0","0","",""
"11-19307-2026","2026-06-23 09:01:42","Sales","Sale","Ready","Free Hold","Residential","PALM JUMEIRAH","Unit","Flat","3750000","185.22","185.22","2 B/R","B2-140","Palm Jumeirah","Marina Mall","Burj Al Arab","0","0","",""
"11-19308-2026","2026-06-22 13:25:05","Sales","Sale","Ready","Free Hold","Residential","BUSINESS BAY","Unit","Flat","1850000","62.44","62.44","1 B/R","P2-82","Business Bay Metro Station","Dubai Mall","Downtown Dubai","0","0","","Peninsula Three"
"11-19309-2026","2026-06-22 13:28:52","Sales","Sale","Ready","Free Hold","Residential","JUMEIRAH GOLF","Unit","Flat","1120000","72.21","72.21","1 B/R","PH1-B-39","Damac Properties","Marina Mall","Sports City Swimming Academy","0","0","","ALANDALUS"
"11-19310-2026","2026-06-22 13:18:55","Sales","Sale","Ready","Free Hold","Residential","JUMEIRAH LAKES TOWERS","Unit","Flat","830000","59.32","59.32","1 B/R","DMCC-2256","Jumeirah Lakes Towers","Marina Mall","Sports City Swimming Academy","0","0","","GLOBAL LAKE VIEW"
"11-19312-2026","2026-06-22 15:32:18","Sales","Sale","Ready","Free Hold","Residential","Madinat Hind 4","Land","Residential","2050000","174.8","174.8","","","","","","0","0","","DAMAC HILLS (2) - ZINNIA "
"11-19313-2026","2026-06-22 15:51:30","Sales","Sale","Ready","Free Hold","Residential","ARJAN","Unit","Flat","430158","40.46","40.46","Studio","B-318","Sharaf Dg Metro Station","Mall of the Emirates","Motor City","0","0","","Resortz Residence"
"11-19314-2026","2026-06-22 14:02:43","Sales","Sale","Ready","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Unit","Flat","680000","41.55","41.55","Studio","B1-30","Dubai Internet City","Marina Mall","Sports City Swimming Academy","0","0","","STONEHENGE RESIDENCES 2"
